121	3	129
172	2	84
153	1	170
3	7	43
189	1	25
52	6	12
89	7	116
70	2	13
118	3	56
129	1	122
26	3	136
149	5	93
48	7	95
41	0	133
56	1	158
79	7	12
188	3	2
186	1	80
108	6	136
28	5	126
174	7	21
149	8	87
186	9	133
122	6	22
135	1	64
0	1	180
21	4	63
98	8	138
44	2	154
139	8	81
142	7	49
41	9	129
23	1	103
168	3	149
96	7	122
5	7	15
28	1	107
156	2	46
88	9	48
67	6	143
130	5	127
172	4	83
47	3	29
96	8	89
71	4	146
18	4	80
128	1	15
156	2	112
31	5	2
172	4	78
11	8	31
142	4	199
107	1	193
34	7	110
76	4	10
139	9	159
89	5	156
147	8	128
108	6	155
195	0	106
79	0	57
3	4	48
113	3	22
69	7	52
70	4	137
4	4	192
16	1	119
121	1	16
156	8	34
37	2	127
167	3	121
33	4	60
105	7	189
144	0	64
3	2	115
59	4	82
43	6	198
185	6	123
193	6	95
3	0	41
162	2	174
72	1	193
127	1	72
103	8	181
159	8	108
160	5	70
120	6	107
189	6	95
132	2	82
145	6	171
123	6	40
65	8	100
54	5	178
131	4	140
155	2	34
2	2	46
45	9	174
68	8	154
79	3	182
164	4	89
107	9	140
188	7	93
147	3	20
15	6	144
188	9	49
172	7	152
159	6	142
6	9	115
18	2	139
52	7	163
15	1	121
164	6	30
146	8	60
184	8	133
122	2	121
102	1	20
87	4	147
169	4	143
140	3	70
87	8	74
67	9	183
106	8	136
121	9	150
14	3	42
137	9	99
178	6	183
147	9	157
46	4	188
109	2	155
41	1	3
129	9	186
50	7	45
17	0	150
134	5	20
50	6	128
96	2	142
63	1	22
134	0	84
89	3	12
171	2	138
135	8	97
149	6	135
128	3	176
61	8	123
179	2	78
142	0	99
63	3	114
59	5	95
39	5	80
182	3	35
185	6	127
127	9	175
112	7	30
14	0	142
84	0	52
32	7	53
33	5	25
54	9	7
54	0	137
194	6	176
182	1	83
45	5	131
133	0	44
32	9	86
87	0	65
46	6	76
40	4	183
107	8	114
123	1	189
70	4	133
7	7	70
119	4	160
131	7	125
138	3	105
123	6	29
179	2	158
146	8	136
101	9	81
129	5	178
5	6	90
190	3	116
67	2	95
141	1	164
78	3	125
112	4	20
114	4	194
132	4	195
115	1	75
178	2	109
135	0	133
57	2	162
58	7	13
36	8	104
102	0	44
197	1	89
43	3	186
133	2	57
43	9	106
133	4	114
113	6	67
25	3	14
51	5	158
75	4	46
133	3	141
27	0	158
4	6	142
182	5	40
47	4	169
101	5	38
109	1	156
76	3	17
132	2	6
50	3	146
124	0	93
140	1	123
75	5	155
174	3	39
47	0	12
26	9	169
4	3	3
22	4	199
122	4	83
77	1	188
163	0	55
148	8	190
186	4	74
117	4	136
95	4	186
176	9	171
5	6	69
94	6	10
39	6	45
188	7	10
97	6	119
19	4	187
18	0	133
49	3	40
125	0	187
181	5	124
161	7	26
122	4	6
133	8	176
72	2	74
58	7	85
143	8	68
23	0	134
145	2	104
116	2	33
138	7	190
18	7	4
2	3	187
172	1	75
37	7	17
12	4	172
96	9	188
199	0	69
121	8	66
18	5	145
64	5	123
19	9	99
128	0	192
2	7	168
82	1	65
101	0	126
185	6	176
143	4	177
8	8	71
63	6	59
189	6	174
64	0	175
93	4	77
71	5	139
88	8	75
139	0	106
122	2	187
